,Source_airport,Destination_airport,Routes
11,Canada,United States,399
12,United States,Canada,399
15,United States,Mexico,341
16,Mexico,United States,339
21,Spain,United Kingdom,290
22,United Kingdom,Spain,289
24,Spain,Germany,236
25,Germany,Spain,232
30,Taiwan,China,165
31,China,Taiwan,165
33,United States,United Kingdom,161
34,United Kingdom,United States,159
35,China,Japan,146
36,Japan,China,146
40,Germany,Italy,140
41,Italy,Germany,138
45,United Kingdom,France,123
46,France,United Kingdom,122
47,South Korea,China,121
48,United Kingdom,Germany,120
49,China,South Korea,120
50,Germany,United Kingdom,119
52,Germany,United States,115
53,United States,Germany,115
56,Hong Kong,China,107
57,China,Hong Kong,107
59,Italy,Spain,103
60,Spain,Italy,103
61,Japan,South Korea,103
62,South Korea,Japan,103
67,France,Italy,87
68,Italy,France,87
69,Canada,Mexico,86
70,Japan,United States,86
71,United States,Japan,86
74,Mexico,Canada,84
75,New Zealand,Australia,84
76,France,Spain,83
77,Spain,France,83
78,Australia,New Zealand,79
79,Russia,Uzbekistan,79
80,Uzbekistan,Russia,79
81,France,United States,78
83,United States,France,77
84,Italy,United Kingdom,75
87,United Kingdom,Italy,73
88,United States,Bahamas,71
89,Bahamas,United States,71
90,Germany,Turkey,70
91,Germany,Austria,70
92,France,Algeria,69
93,Algeria,France,69
94,Austria,Germany,69
95,Turkey,Germany,68
97,United Arab Emirates,India,66
98,India,United Arab Emirates,66
100,United Kingdom,Ireland,63
101,Poland,United Kingdom,62
102,United Kingdom,Poland,62
103,Russia,Tajikistan,62
104,France,Morocco,62
105,Morocco,France,62
107,Tajikistan,Russia,61
108,Switzerland,United Kingdom,60
109,United Kingdom,Switzerland,60
110,Ireland,United Kingdom,59
111,Germany,Russia,59
112,Russia,Germany,59
117,France,Germany,56
118,Germany,Poland,55
119,Germany,France,55
121,Indonesia,Singapore,54
122,Singapore,Indonesia,54
123,Poland,Germany,54
125,United States,Brazil,52
126,Brazil,United States,52
128,United Kingdom,Netherlands,49
129,Netherlands,United Kingdom,49
130,China,United States,49
131,United States,China,49
132,United States,Spain,49
133,Spain,United States,49
134,Switzerland,Germany,49
136,Indonesia,Malaysia,48
137,Puerto Rico,United States,48
138,Germany,Switzerland,48
140,United States,Netherlands,46
141,Netherlands,United States,46
143,Malaysia,Indonesia,46
144,United States,Puerto Rico,46
146,United Kingdom,Egypt,45
147,Egypt,United Kingdom,45
148,United Kingdom,Canada,45
149,Romania,Italy,44
150,Italy,Romania,44
151,Canada,United Kingdom,44
153,Portugal,Spain,43
154,Spain,Portugal,43
155,Dominican Republic,United States,43
156,United States,Dominican Republic,43
157,United Kingdom,Portugal,42
158,Portugal,United Kingdom,42
159,Russia,Kyrgyzstan,42
160,Thailand,China,42
161,China,Thailand,42
162,Taiwan,Japan,42
163,Japan,Taiwan,42
164,Kyrgyzstan,Russia,41
165,Germany,Egypt,41
166,United Arab Emirates,Pakistan,41
168,United Arab Emirates,Saudi Arabia,41
170,United States,South Korea,40
171,South Korea,United States,40
172,Pakistan,United Arab Emirates,40
173,Russia,Ukraine,40
174,Ukraine,Russia,40
175,Saudi Arabia,United Arab Emirates,40
176,Switzerland,Spain,39
177,United States,Costa Rica,39
180,Spain,Netherlands,38
181,Spain,Switzerland,38
182,Costa Rica,United States,38
183,United States,Jamaica,38
185,Singapore,China,38
186,Netherlands,Spain,37
187,Jamaica,United States,37
188,China,Macau,37
189,Macau,China,37
190,China,Singapore,37
191,Norway,United Kingdom,36
192,United Kingdom,Norway,36
193,Canada,Cuba,36
194,Cuba,Canada,36
195,Saudi Arabia,India,36
196,India,Saudi Arabia,36
197,Guam,Japan,35
198,Japan,Guam,35
199,Russia,Armenia,35
200,Armenia,Russia,35
201,Singapore,Malaysia,35
202,Malaysia,Singapore,35
204,Ireland,Spain,34
205,Spain,Ireland,34
206,China,Russia,34
207,Egypt,Germany,34
208,Russia,China,33
210,Saudi Arabia,Pakistan,32
211,Egypt,Saudi Arabia,32
212,Tunisia,France,32
213,El Salvador,United States,32
214,United States,El Salvador,32
216,Singapore,India,32
217,India,Singapore,32
218,Saudi Arabia,Egypt,31
219,Portugal,France,31
220,France,Tunisia,31
221,France,Portugal,31
222,Singapore,Australia,31
223,Australia,Singapore,31
224,Pakistan,Saudi Arabia,30
226,Italy,United States,30
227,United States,Italy,30
228,United States,Australia,30
229,Australia,United States,30
230,Portugal,Germany,30
231,Germany,Sweden,30
232,Sweden,Germany,30
233,Italy,Belgium,29
234,Belgium,Italy,29
235,Austria,United Kingdom,29
236,United Kingdom,Austria,29
237,Switzerland,United States,29
238,United States,Switzerland,29
239,Belgium,Spain,28
240,Russia,Czech Republic,28
241,Czech Republic,Russia,28
242,United Kingdom,Sweden,28
243,Sweden,United Kingdom,28
244,Panama,United States,28
245,United States,Panama,28
246,Germany,Portugal,28
247,Brazil,Argentina,27
248,Argentina,Brazil,27
249,United States,Colombia,27
250,Colombia,United States,27
251,Morocco,Spain,27
252,Spain,Morocco,27
253,Spain,Belgium,26
255,Japan,Hong Kong,26
256,Hong Kong,Japan,26
257,France,Netherlands,26
258,Netherlands,France,26
259,United Kingdom,Denmark,25
260,Denmark,United Kingdom,25
261,Italy,Netherlands,25
262,Netherlands,Italy,25
263,Belgium,United Kingdom,25
264,Kazakhstan,Russia,25
265,South Korea,Philippines,25
266,Philippines,South Korea,25
267,Tanzania,Kenya,25
268,Germany,Netherlands,25
269,Netherlands,Germany,25
270,Denmark,Germany,25
271,Germany,Denmark,25
273,Malaysia,Thailand,24
274,Thailand,Malaysia,24
275,United Kingdom,Belgium,24
276,Austria,Spain,24
277,Spain,Austria,24
278,Russia,Kazakhstan,24
279,United States,Netherlands Antilles,24
280,India,Thailand,24
281,Thailand,India,24
282,Germany,Romania,24
283,Romania,Germany,24
284,Singapore,Thailand,24
285,Thailand,Singapore,24
286,Denmark,Norway,23
287,Ireland,United States,23
288,Guatemala,United States,23
289,United States,Guatemala,23
290,Kenya,Tanzania,23
291,Germany,Serbia,23
292,Serbia,Germany,23
294,Austria,Russia,22
295,Russia,Austria,22
296,Iran,United Arab Emirates,22
297,United Arab Emirates,Iran,22
298,Spain,Denmark,22
299,Australia,Indonesia,22
300,Norway,Denmark,22
301,Poland,Italy,22
302,Italy,Poland,22
303,Albania,Italy,22
304,Italy,Albania,22
305,China,Malaysia,22
306,Malaysia,China,22
307,Germany,Norway,22
308,Norway,Germany,22
309,Virgin Islands,United States,22
310,United Arab Emirates,Oman,22
311,United States,Belgium,22
312,Belgium,United States,22
313,Netherlands Antilles,United States,22
315,Russia,Azerbaijan,22
316,Denmark,Spain,21
317,Indonesia,Australia,21
318,Portugal,Italy,21
319,Russia,Italy,21
320,Italy,Portugal,21
321,Finland,Germany,21
322,Germany,Finland,21
323,United States,Aruba,21
324,United States,Virgin Islands,21
325,Aruba,United States,21
326,United States,Hong Kong,21
327,Hong Kong,United States,21
328,South Korea,Thailand,21
329,Thailand,South Korea,21
330,Greece,Germany,21
331,Germany,Greece,21
332,Azerbaijan,Russia,21
333,Finland,Sweden,21
334,Sweden,Finland,21
336,Norway,Spain,20
337,Spain,Norway,20
339,Hong Kong,Thailand,20
340,Thailand,Hong Kong,20
341,Australia,Thailand,20
342,Thailand,Australia,20
343,Italy,Russia,20
345,United States,Ireland,20
346,Honduras,United States,20
347,United States,Honduras,20
348,Oman,United Arab Emirates,20
349,United Kingdom,United Arab Emirates,20
350,United Arab Emirates,United Kingdom,20
351,United Kingdom,Cyprus,20
352,Cyprus,United Kingdom,20
353,Norway,Poland,19
354,Poland,Norway,19
355,Russia,United Arab Emirates,19
356,United Arab Emirates,Russia,19
357,Canada,Germany,19
358,Germany,Canada,19
360,United States,Cayman Islands,19
361,United Kingdom,India,19
362,Germany,Hungary,19
363,Hungary,Germany,19
364,Philippines,China,19
365,China,Philippines,19
366,Russia,Thailand,18
367,Thailand,Russia,18
368,Romania,Spain,18
369,Spain,Romania,18
370,Portugal,Brazil,18
371,Brazil,Portugal,18
372,Saudi Arabia,Yemen,18
373,Yemen,Saudi Arabia,18
374,Malta,United Kingdom,18
375,United Kingdom,Malta,18
376,Belgium,France,18
377,Germany,United Arab Emirates,18
378,Taiwan,United States,18
379,Cayman Islands,United States,18
380,India,Sri Lanka,18
381,Oman,India,18
382,India,Oman,18
383,Switzerland,Italy,18
384,Italy,Switzerland,18
385,Russia,Spain,17
386,Spain,Russia,17
387,Poland,Ireland,17
388,Ireland,Poland,17
389,Kuwait,Egypt,17
390,Egypt,Kuwait,17
391,Russia,Turkey,17
392,Turkey,Russia,17
393,Japan,Thailand,17
394,United Kingdom,Isle of Man,17
395,Isle of Man,United Kingdom,17
396,Spain,Sweden,17
397,Sweden,Spain,17
398,Singapore,Japan,17
399,Japan,Singapore,17
400,France,Belgium,17
401,Canada,Dominican Republic,17
402,Germany,China,17
403,China,Germany,17
404,United Arab Emirates,Germany,17
405,Germany,Tunisia,17
406,Tunisia,Germany,17
407,Peru,United States,17
408,United States,Taiwan,17
409,United States,Peru,17
410,Malaysia,India,17
411,Sri Lanka,India,17
412,India,United Kingdom,17
413,India,Malaysia,17
414,United States,Russia,17
415,Russia,United States,17
417,Vietnam,Japan,16
418,Japan,Vietnam,16
419,Thailand,Japan,16
420,China,Australia,16
421,Australia,China,16
422,Iran,Turkey,16
423,Turkey,Iran,16
424,Czech Republic,Italy,16
425,Italy,Czech Republic,16
426,Germany,India,16
427,France,Switzerland,16
428,Switzerland,France,16
429,Canada,Jamaica,16
430,Jamaica,Canada,16
431,Dominican Republic,Canada,16
432,Austria,Italy,16
433,Italy,Austria,16
434,South Africa,Mozambique,16
435,Brazil,Uruguay,15
436,Oman,Pakistan,15
437,Pakistan,Oman,15
438,Australia,Malaysia,15
439,Malaysia,Australia,15
441,Taiwan,Vietnam,15
442,Vietnam,Taiwan,15
443,Qatar,India,15
444,India,Qatar,15
445,Mozambique,South Africa,15
447,Croatia,Germany,15
448,Germany,Croatia,15
449,Vietnam,China,15
450,China,Vietnam,15
451,Germany,Belgium,14
452,Belgium,Germany,14
453,Japan,Australia,14
454,Australia,Japan,14
456,Egypt,United Arab Emirates,14
457,United Arab Emirates,Egypt,14
458,Uruguay,Brazil,14
459,Brazil,Germany,14
460,Finland,Spain,14
461,Spain,Finland,14
462,India,Germany,14
463,Rwanda,Uganda,14
464,Cameroon,Congo (Kinshasa),14
465,Austria,Romania,14
466,Romania,Austria,14
467,Ukraine,Turkey,14
468,Turkey,Ukraine,14
469,Turkey,Cyprus,14
470,Cyprus,Turkey,14
471,Bangladesh,United Arab Emirates,14
472,Morocco,Germany,14
473,Germany,Morocco,14
474,Singapore,Philippines,14
475,Philippines,Singapore,14
476,Germany,Ukraine,13
477,Ukraine,Germany,13
478,South Korea,Vietnam,13
479,Vietnam,South Korea,13
480,Austria,Egypt,13
481,Poland,Spain,13
482,Spain,Poland,13
483,Germany,Brazil,13
484,China,Netherlands,13
485,Netherlands,China,13
486,China,United Arab Emirates,13
487,Norway,Sweden,13
488,United Arab Emirates,China,13
489,Guernsey,United Kingdom,13
490,United Kingdom,Guernsey,13
491,Jersey,United Kingdom,13
492,Hong Kong,Australia,13
493,Malta,Italy,13
494,Italy,Malta,13
495,Norway,Netherlands,13
496,Netherlands,Norway,13
497,United Kingdom,Morocco,13
498,Morocco,United Kingdom,13
499,Canada,France,13
500,France,Canada,13
501,Austria,Switzerland,13
502,United States,New Zealand,13
503,United States,United Arab Emirates,13
504,United Arab Emirates,United States,13
505,Italy,Greece,13
506,Greece,Italy,13
508,Israel,Russia,13
509,Russia,Israel,13
510,Argentina,United States,13
511,United States,Argentina,13
512,United Arab Emirates,Bangladesh,13
513,Saudi Arabia,Syria,12
514,Syria,Saudi Arabia,12
516,Austria,Ukraine,12
517,Ukraine,Austria,12
518,Turkey,Switzerland,12
519,Switzerland,Turkey,12
520,Kuwait,Saudi Arabia,12
522,Sweden,Poland,12
523,Poland,Sweden,12
524,Ukraine,United Arab Emirates,12
525,Vietnam,Thailand,12
526,Thailand,Vietnam,12
527,United Arab Emirates,Ukraine,12
528,Germany,Ireland,12
529,Ireland,Germany,12
530,Australia,Hong Kong,12
531,United Kingdom,Jersey,12
532,Italy,Turkey,12
533,Italy,Hungary,12
534,Turkey,Italy,12
535,Hungary,Italy,12
537,Panama,Colombia,12
538,Colombia,Panama,12
539,Italy,Egypt,12
540,France,Denmark,12
541,Denmark,France,12
542,Canada,China,12
543,Chile,Argentina,12
544,China,Canada,12
545,Switzerland,Austria,12
546,United Kingdom,Turkey,12
547,Turkey,United Kingdom,12
548,Puerto Rico,Virgin Islands,12
549,Israel,Germany,12
550,Germany,Israel,12
551,Switzerland,Egypt,12
552,Morocco,Italy,12
553,Italy,Morocco,12
554,Singapore,Vietnam,12
555,Vietnam,Singapore,12
557,Saudi Arabia,Kuwait,11
558,Austria,Netherlands,11
559,Netherlands,Austria,11
560,Egypt,Austria,11
561,Lithuania,United Kingdom,11
562,United Kingdom,Lithuania,11
563,Kuwait,Iran,11
564,Iran,Kuwait,11
565,Yemen,United Arab Emirates,11
566,United Arab Emirates,Yemen,11
567,Syria,United Arab Emirates,11
568,Sweden,Norway,11
569,Saudi Arabia,Bahrain,11
570,Bahrain,Saudi Arabia,11
571,Czech Republic,United Kingdom,11
572,United Kingdom,Czech Republic,11
573,Estonia,Finland,11
574,Finland,Estonia,11
575,Bahrain,United Arab Emirates,11
576,United Arab Emirates,Kuwait,11
577,United Arab Emirates,Bahrain,11
578,Egypt,Italy,11
579,Poland,France,11
580,France,Poland,11
581,France,Sweden,11
582,Sweden,France,11
583,Taiwan,South Korea,11
584,South Korea,Taiwan,11
585,Rwanda,Kenya,11
586,Belgium,Cameroon,11
587,Chile,Peru,11
588,Turks and Caicos Islands,United States,11
589,United States,Turks and Caicos Islands,11
590,Bahrain,Qatar,11
591,New Zealand,United States,11
592,Virgin Islands,Puerto Rico,11
594,South Korea,Hong Kong,11
595,Hong Kong,South Korea,11
596,Nepal,India,11
597,India,Nepal,11
598,Uruguay,Argentina,11
599,Czech Republic,Germany,11
600,Germany,Bulgaria,11
601,Germany,Czech Republic,11
602,Egypt,Switzerland,11
603,Morocco,Belgium,11
604,Belgium,Morocco,11
605,Sweden,Denmark,11
606,Denmark,Sweden,11
608,Saudi Arabia,Turkey,10
609,Turkey,Saudi Arabia,10
610,Jordan,Saudi Arabia,10
611,Austria,Turkey,10
612,Turkey,Austria,10
613,Reunion,Madagascar,10
614,Russia,South Korea,10
615,South Korea,Russia,10
616,Germany,Luxembourg,10
617,Portugal,Netherlands,10
618,Netherlands,Portugal,10
619,United Arab Emirates,Syria,10
620,United Arab Emirates,Jordan,10
621,Jordan,United Arab Emirates,10
622,Fiji,Australia,10
623,Australia,Fiji,10
624,Portugal,United States,10
625,Saudi Arabia,Germany,10
626,United States,Portugal,10
627,Australia,United Arab Emirates,10
628,United Arab Emirates,Australia,10
629,United Arab Emirates,South Africa,10
630,Kuwait,United Arab Emirates,10
631,Mexico,Spain,10
632,Spain,Mexico,10
633,Hong Kong,Malaysia,10
634,Malaysia,Hong Kong,10
635,Spain,Algeria,10
636,Algeria,Spain,10
637,Ireland,France,10
638,France,Ireland,10
639,Netherlands,United Arab Emirates,10
640,Taiwan,Hong Kong,10
641,Hong Kong,Taiwan,10
642,Congo (Kinshasa),Cameroon,10
643,Argentina,Chile,10
644,Vietnam,Hong Kong,10
645,Chile,United States,10
646,Hong Kong,Vietnam,10
647,Qatar,Bahrain,10
648,United Kingdom,Greece,10
649,Greece,United Kingdom,10
650,Hong Kong,India,10
651,India,Hong Kong,10
653,Argentina,Uruguay,10
654,Philippines,Japan,10
655,Japan,Philippines,10
656,Singapore,Hong Kong,10
657,Hong Kong,Singapore,10
658,Hong Kong,Philippines,10
659,Philippines,Hong Kong,10
660,Ecuador,Colombia,10
661,United States,Ecuador,10
662,Ecuador,United States,10
663,Colombia,Ecuador,10
664,Saudi Arabia,Jordan,9
666,Lebanon,Saudi Arabia,9
667,Madagascar,Reunion,9
668,Portugal,Switzerland,9
669,Switzerland,Portugal,9
670,Sudan,Saudi Arabia,9
671,Saudi Arabia,Sudan,9
672,Malta,Germany,9
673,Japan,Germany,9
674,Germany,Japan,9
675,Czech Republic,Spain,9
676,Spain,Czech Republic,9
677,Luxembourg,Germany,9
678,Russia,Egypt,9
679,Egypt,Russia,9
680,Indonesia,Thailand,9
681,Thailand,Indonesia,9
682,Portugal,Belgium,9
683,Belgium,Portugal,9
684,Syria,Iran,9
685,United Arab Emirates,Sudan,9
686,Italy,Sweden,9
687,Sweden,Italy,9
688,Australia,Vanuatu,9
689,Malaysia,Japan,9
690,Japan,Malaysia,9
691,Germany,Saudi Arabia,9
692,Papua New Guinea,Australia,9
693,Australia,Papua New Guinea,9
694,Spain,Brazil,9
695,Brazil,Spain,9
696,Latvia,Germany,9
697,Latvia,Norway,9
698,Germany,Latvia,9
699,Norway,Latvia,9
700,Tanzania,Ethiopia,9
701,Bulgaria,United Kingdom,9
702,Singapore,Germany,9
703,United Kingdom,Bulgaria,9
704,Germany,Singapore,9
705,Belarus,Russia,9
706,Russia,Belarus,9
707,South Africa,United Arab Emirates,9
708,Turkey,France,9
709,France,Turkey,9
710,Canada,Switzerland,9
711,Switzerland,Canada,9
712,Burundi,Kenya,9
713,Austria,France,9
714,Dominican Republic,Germany,9
715,Germany,Dominican Republic,9
716,Germany,Thailand,9
717,France,Austria,9
718,United States,Nicaragua,9
719,Nicaragua,United States,9
720,United States,Chile,9
721,United States,Belize,9
722,Sri Lanka,United Arab Emirates,9
723,Belize,United States,9
724,United Arab Emirates,Sri Lanka,9
725,United States,India,9
726,India,United States,9
727,United States,Venezuela,9
728,Venezuela,United States,9
729,Cyprus,Greece,9
730,Haiti,United States,9
731,United States,Haiti,9
732,Bulgaria,Germany,9
733,Bangladesh,India,9
734,India,Bangladesh,9
735,Burkina Faso,Benin,9
736,Benin,Burkina Faso,9
738,Cape Verde,United Kingdom,8
739,United Kingdom,Cape Verde,8
741,Australia,Norfolk Island,8
742,Saudi Arabia,Lebanon,8
743,Poland,Ukraine,8
744,Ukraine,Poland,8
745,Germany,Malta,8
746,Turkey,Iraq,8
747,Iraq,Turkey,8
749,Ukraine,Spain,8
751,Poland,Netherlands,8
752,Netherlands,Poland,8
754,Afghanistan,Iran,8
755,Iran,Syria,8
756,United Arab Emirates,Qatar,8
757,Italy,Ireland,8
758,Ireland,Italy,8
759,Dominican Republic,Spain,8
760,Switzerland,Denmark,8
761,Denmark,Switzerland,8
762,Canada,Netherlands,8
763,Qatar,Saudi Arabia,8
764,Saudi Arabia,Qatar,8
765,Netherlands,Canada,8
767,United States,Denmark,8
768,Qatar,Germany,8
769,Denmark,United States,8
771,Latvia,United Kingdom,8
772,Latvia,Russia,8
773,United Kingdom,Latvia,8
774,Russia,Latvia,8
775,Taiwan,Thailand,8
776,Thailand,Taiwan,8
778,Qatar,United Arab Emirates,8
779,Kenya,Ethiopia,8
780,Ethiopia,Tanzania,8
781,Namibia,South Africa,8
782,Tunisia,United Kingdom,8
783,United Kingdom,Russia,8
784,United Kingdom,South Africa,8
785,United Kingdom,Tunisia,8
786,United Kingdom,Hungary,8
787,South Africa,Namibia,8
788,Russia,United Kingdom,8
789,South Africa,United Kingdom,8
790,Hungary,United Kingdom,8
791,Bulgaria,Italy,8
792,Nigeria,Ghana,8
793,Ukraine,Italy,8
794,Italy,Bulgaria,8
795,Italy,Ukraine,8
796,Italy,Serbia,8
797,Serbia,Italy,8
798,Netherlands,Denmark,8
799,Denmark,Netherlands,8
800,Finland,Denmark,8
801,Denmark,Finland,8
802,Tunisia,Italy,8
803,Italy,Tunisia,8
804,Taiwan,Malaysia,8
805,Malaysia,Taiwan,8
806,China,India,8
807,India,China,8
808,Czech Republic,France,8
809,Romania,France,8
810,Russia,France,8
811,Kuwait,Bahrain,8
812,France,Czech Republic,8
813,France,Romania,8
814,France,Russia,8
815,Bahrain,Kuwait,8
816,United Arab Emirates,Netherlands,8
817,Angola,Congo (Kinshasa),8
818,Austria,Denmark,8
819,Austria,Sweden,8
820,Cyprus,Germany,8
821,Denmark,Austria,8
822,Thailand,Germany,8
823,Sweden,Austria,8
824,Peru,Chile,8
825,United States,Bermuda,8
826,United States,Antigua and Barbuda,8
827,Bermuda,United States,8
828,Greece,Cyprus,8
829,Kuwait,India,8
830,Belgium,Canada,8
831,India,Bahrain,8
832,Bahrain,India,8
833,Cameroon,Central African Republic,8
834,Central African Republic,Cameroon,8
835,Cuba,Mexico,8
836,Morocco,Netherlands,8
837,Taiwan,Singapore,8
838,Singapore,Taiwan,8
840,Cameroon,Benin,8
841,Benin,Cameroon,8
842,Cape Verde,Portugal,7
843,Portugal,Cape Verde,7
844,Russia,Vietnam,7
845,Vietnam,Russia,7
